,topic,type,ref,urlKaggle,title,author,lastRunTime,totalVotes
0,Data-scientist,kernels,hiteshp/head-start-for-data-scientist,kaggle.com/code/hiteshp/head-start-for-data-scientist,Head Start for Data Scientist,Hitesh palamada,2018-09-02 18:36:19,1091
1,Data-scientist,kernels,jackcook/how-to-become-a-data-scientist,kaggle.com/code/jackcook/how-to-become-a-data-scientist,How to Become a Data Scientist,Jack Cook,2017-11-20 20:33:34,301
2,Data-scientist,kernels,pedrodematos/titanic-a-complete-approach-for-data-scientists,kaggle.com/code/pedrodematos/titanic-a-complete-approach-for-data-scientists,Titanic: A complete approach for Data Scientists,Pedro Gonçalves,2021-06-01 16:16:47,508
3,Big-data-concepts,kernels,kanncaa1/deep-learning-tutorial-for-beginners,kaggle.com/code/kanncaa1/deep-learning-tutorial-for-beginners,Deep Learning Tutorial for Beginners,DATAI,2019-05-25 14:42:24,2312
4,Big-data-concepts,kernels,jiashenliu/introduction-to-financial-concepts-and-data,kaggle.com/code/jiashenliu/introduction-to-financial-concepts-and-data,Introduction to financial concepts and data,Jiashen Liu,2021-07-01 09:52:48,936
5,Big-data-concepts,kernels,rtatman/welcome-to-data-science-in-r,kaggle.com/code/rtatman/welcome-to-data-science-in-r,Welcome to Data Science in R,Rachael Tatman,2018-04-11 21:56:06,406
6,Big-data-concepts,kernels,shivamb/data-science-glossary-on-kaggle,kaggle.com/code/shivamb/data-science-glossary-on-kaggle,Data Science Glossary on Kaggle,Shivam Bansal,2018-12-10 09:47:14,2141
7,Big-data-concepts,kernels,arthurtok/interactive-intro-to-dimensionality-reduction,kaggle.com/code/arthurtok/interactive-intro-to-dimensionality-reduction,Interactive Intro to Dimensionality Reduction,Anisotropic,2018-09-24 22:53:26,814
8,Big-data-concepts,kernels,rtatman/data-cleaning-challenge-parsing-dates,kaggle.com/code/rtatman/data-cleaning-challenge-parsing-dates,Data Cleaning Challenge: Parsing Dates,Rachael Tatman,2018-03-30 21:17:59,252
9,Big-data-concepts,kernels,ldfreeman3/a-data-science-framework-to-achieve-99-accuracy,kaggle.com/code/ldfreeman3/a-data-science-framework-to-achieve-99-accuracy,A Data Science Framework: To Achieve 99% Accuracy,LD Freeman,2017-12-31 18:27:17,5295
10,Big-data-concepts,kernels,pavansanagapati/a-simple-cnn-model-beginner-guide,kaggle.com/code/pavansanagapati/a-simple-cnn-model-beginner-guide,A Simple CNN Model Beginner Guide !!!!!!,Pavan Sanagapati,2020-06-08 15:08:17,299
11,Big-data-concepts,kernels,pierremegret/gensim-word2vec-tutorial,kaggle.com/code/pierremegret/gensim-word2vec-tutorial,Gensim Word2Vec Tutorial,Pierre Megret,2018-10-21 01:14:06,523
12,Big-data-concepts,kernels,ash316/novice-to-grandmaster,kaggle.com/code/ash316/novice-to-grandmaster,Novice to Grandmaster,Ashwini Swain,2018-03-07 17:18:09,788
13,Big-data-concepts,kernels,arjanso/reinforcement-learning-chess-1-policy-iteration,kaggle.com/code/arjanso/reinforcement-learning-chess-1-policy-iteration,Reinforcement Learning Chess 1: Policy Iteration,ArjanGroen,2020-01-04 09:54:07,70
14,Big-data-concepts,kernels,hiteshp/head-start-for-data-scientist,kaggle.com/code/hiteshp/head-start-for-data-scientist,Head Start for Data Scientist,Hitesh palamada,2018-09-02 18:36:19,1091
15,Big-data-concepts,kernels,tanulsingh077/end-to-end-object-detection-with-transformers-detr,kaggle.com/code/tanulsingh077/end-to-end-object-detection-with-transformers-detr,End to End Object Detection with Transformers:DETR,Mr_KnowNothing,2020-07-05 08:37:33,422
